The process by which triglycerides are broken down into fatty acids and glycerol is called:,Hydrolysis,Condensation,Oxidation,Reduction,A
Which of the following is NOT a component of a nucleotide?,Base,Sugar,Phosphate,Amino acid,D
The process by which homologous DNA sequences are exchanged between chromosomes is called:,Transcription,Translation,Replication,Recombination,D
Which of the following is a pyrimidine base found in RNA?,Adenine,Guanine,Cytosine,Uracil,C
In which organelle does the majority of protein synthesis occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,C
The enzyme responsible for joining Okazaki fragments during DNA replication is called:,DNA polymerase,RNA polymerase,DNA ligase,Helicase,C
Which nucleotide is complementary to thymine in RNA?,Guanine,Cytosine,Adenine,Uracil,D
The process by which a DNA strand is synthesized using RNA as a template is called:,Transcription,Translation,Replication,Reverse transcription,D
Which of the following is a component of a nucleoside?,Base,Sugar,Phosphate,Amino acid,B
The enzyme responsible for proofreading and repairing DNA during replication is called:,DNA polymerase,RNA polymerase,DNA ligase,Helicase,A
Which of the following is NOT a type of RNA molecule involved in protein synthesis?,mRNA,tRNA,rRNA,sRNA,D
The process by which RNA is converted into a protein is called:,Transcription,Translation,Replication,Recombination,B
Which nucleotide is complementary to cytosine in DNA?,Guanine,Thymine,Adenine,Uracil,B
The organelle responsible for protein synthesis in a cell is called:,Ribosome,Nucleus,Golgi apparatus,Endoplasmic reticulum,A
In which cellular compartment does oxidative phosphorylation occur?,Mitochondria,Nucleus,Cytoplasm,Endoplasmic reticulum,A
Which of the following is NOT a function of the cell membrane?,Transport of molecules,Cell signaling,Energy production,DNA replication,D
The process by which cells take in particles by engulfing them is called:,Endocytosis,Exocytosis,Diffusion,Active transport,A
Which organelle is responsible for detoxification of harmful substances in the cell?,Smooth endoplasmic reticulum,Golgi apparatus,Lysosome,Peroxisome,A
The process by which cells break down molecules to release energy is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,C
In which cellular compartment does DNA replication occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,A
The process by which cells secrete substances outside the cell is called:,Endocytosis,Exocytosis,Diffusion,Active transport,B
Which of the following is NOT a function of the Golgi apparatus?,Protein synthesis,Lipid modification,Sorting and packaging of molecules,Secretion of molecules,A
The process by which cells maintain a stable internal environment is called:,Homeostasis,Apoptosis,Mitosis,Meiosis,A
Which organelle is responsible for the synthesis of lipids in the cell?,Endoplasmic reticulum,Golgi apparatus,Lysosome,Peroxisome,A
The process by which cells convert light energy into chemical energy is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,B
In which organelle does the majority of protein synthesis occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,C
Which of the following is NOT a function of the lysosome?,Protein degradation,Cellular waste disposal,Cellular defense and immunity,DNA replication,C
The process by which cells generate ATP in the absence of oxygen is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,D
Which organelle is responsible for packaging and sorting of molecules in the cell?,Golgi apparatus,Endoplasmic reticulum,Lysosome,Peroxisome,A
The process by which cells move molecules from an area of low concentration to an area of high concentration is called:,Endocytosis,Exocytosis,Diffusion,Active transport,D
Which of the following is NOT a function of the mitochondria?,Energy production,Cellular respiration,Calcium storage,DNA replication,C
The process by which cells undergo programmed cell death is called:,Homeostasis,Apoptosis,Mitosis,Meiosis,B
Which organelle is responsible for breaking down cellular waste and foreign substances?,Lysosome,Golgi apparatus,Peroxisome,Endoplasmic reticulum,A
The organelle responsible for protein synthesis in a cell is called:,Ribosome,Nucleus,Golgi apparatus,Endoplasmic reticulum,A
In which cellular compartment does oxidative phosphorylation occur?,Mitochondria,Nucleus,Cytoplasm,Endoplasmic reticulum,A
Which of the following is NOT a function of the cell membrane?,Transport of molecules,Cell signaling,Energy production,DNA replication,D
The process by which cells take in particles by engulfing them is called:,Endocytosis,Exocytosis,Diffusion,Active transport,A
Which organelle is responsible for detoxification of harmful substances in the cell?,Smooth endoplasmic reticulum,Golgi apparatus,Lysosome,Peroxisome,A
The process by which cells break down molecules to release energy is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,C
In which cellular compartment does DNA replication occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,A
The process by which cells secrete substances outside the cell is called:,Endocytosis,Exocytosis,Diffusion,Active transport,B
Which of the following is NOT a function of the Golgi apparatus?,Protein synthesis,Lipid modification,Sorting and packaging of molecules,Secretion of molecules,A
The process by which cells maintain a stable internal environment is called:,Homeostasis,Apoptosis,Mitosis,Meiosis,A
Which organelle is responsible for the synthesis of lipids in the cell?,Endoplasmic reticulum,Golgi apparatus,Lysosome,Peroxisome,A
The process by which cells convert light energy into chemical energy is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,B
In which organelle does the majority of protein synthesis occur?,Nucleus,Mitochondria,Cytoplasm,Endoplasmic reticulum,C
Which of the following is NOT a function of the lysosome?,Protein degradation,Cellular waste disposal,Cellular defense and immunity,DNA replication,C
The process by which cells generate ATP in the absence of oxygen is called:,Glycolysis,Photosynthesis,Cellular respiration,Fermentation,D
Which organelle is responsible for packaging and sorting of molecules in the cell?,Golgi apparatus,Endoplasmic reticulum,Lysosome,Peroxisome,A
The process by which cells move molecules from an area of low concentration to an area of high concentration is called:,Endocytosis,Exocytosis,Diffusion,Active transport,D
Which of the following is NOT a function of the mitochondria?,Energy production,Cellular respiration,Calcium storage,DNA replication,C
The process by which cells undergo programmed cell death is called:,Homeostasis,Apoptosis,Mitosis,Meiosis,B
Which organelle is responsible for breaking down cellular waste and foreign substances?,Lysosome,Golgi apparatus,Peroxisome,Endoplasmic reticulum,A
The process by which glucose is converted to lactate in the absence of oxygen is called:,Anaerobic glycolysis,Gluconeogenesis,Glycogenolysis,Aerobic respiration,A
In which cellular compartment does the pentose phosphate pathway occur?,Cytoplasm,Mitochondria,Nucleus,Endoplasmic reticulum,A
Which of the following is an example of a monosaccharide?,Sucrose,Galactose,Fructose,Maltose,B
Which carbohydrate is a major component of plant cell walls?,Cellulose,Glycogen,Starch,Lactose,A
The process by which glucose is converted to pyruvate and ATP is produced is called:,Glycolysis,Gluconeogenesis,Glycogenolysis,Glycogenesis,A
Which of the following is NOT a disaccharide?,Sucrose,Maltose,Lactose,Trehalose,A
In which form are carbohydrates stored in animals?,Glycogen,Cellulose,Starch,Lactose,A
The enzyme responsible for the conversion of glucose-6-phosphate to glucose is called:,Glucose-6-phosphatase,Hexokinase,Phosphofructokinase,Aldolase,A
Which of the following is a reducing sugar?,Maltose,Sucrose,Fructose,Lactose,A
The process by which glucose is synthesized from non-carbohydrate precursors is called:,Gluconeogenesis,Glycolysis,Glycogenolysis,Glycogenesis,A
Which of the following is NOT a structural component of glycogen?,Glucose,Mannose,Fucose,Galactose,A
In which organelle does gluconeogenesis occur?,Cytoplasm,Mitochondria,Nucleus,Endoplasmic reticulum,A
Which of the following is NOT a hexose sugar?,Glucose,Fructose,Mannose,Galactose,A
The enzyme responsible for the conversion of glucose-1-phosphate to glucose-6-phosphate is called:,Glycogen phosphorylase,Phosphoglucomutase,Glycogen debranching enzyme,Hexokinase,B
Which of the following is a storage polysaccharide found in animals?,Glycogen,Starch,Cellulose,Lactose,A
The process by which glycogen is synthesized from glucose is called:,Glycogenesis,Glycolysis,Gluconeogenesis,Glycogenolysis,A
Which of the following is a non-reducing disaccharide?,Maltose,Lactose,Sucrose,Trehalose,C
The enzyme responsible for the conversion of fructose-6-phosphate to glucose-6-phosphate is called:,Phosphohexose isomerase,Phosphoglucomutase,Glucose-6-phosphatase,Aldolase,C
Which of the following is NOT a monosaccharide?,Sucrose,Galactose,Fructose,Maltose,A
The breakdown of triglycerides into glycerol and fatty acids is called:, Lipolysis,Fatty acid synthesis,Cholesterol synthesis,Phospholipid synthesis,A
In which cellular organelle does beta-oxidation of fatty acids occur?,Mitochondria,Nucleus,Cytoplasm,Endoplasmic reticulum,A
Which of the following is a precursor for the synthesis of steroid hormones?,Cholesterol,Phospholipids,Glycerol,Fatty acids,A
The enzyme responsible for the synthesis of fatty acids from acetyl-CoA is called:,Fatty acid synthase,Acetyl-CoA carboxylase,Lipoprotein lipase,Lipoprotein lipase,A
Which of the following is NOT a function of lipids in the body?,Energy storage,Cellular signaling,Structural component of cell membranes,DNA replication,D
The process by which fatty acids are converted into acetyl-CoA is called:,Beta-oxidation,Fatty acid synthesis,Cholesterol synthesis,Phospholipid synthesis,A
Which of the following lipoproteins transports cholesterol from peripheral tissues to the liver?,HDL,LDL,VLDL,Chylomicrons,A
The enzyme responsible for the hydrolysis of triglycerides into fatty acids and glycerol is called:,Lipoprotein lipase,Acetyl-CoA carboxylase,Fatty acid synthase,Phospholipase,A
Which of the following is a key regulator of fatty acid synthesis?,Acetyl-CoA carboxylase,Fatty acid synthase,Lipoprotein lipase,Fatty acid desaturase,A
The process by which fatty acids are synthesized from acetyl-CoA is called:,Fatty acid synthesis,Beta-oxidation,Cholesterol synthesis,Phospholipid synthesis,A
Which of the following is a structural component of cell membranes?,Phospholipids,Cholesterol,Glycerol,Fatty acids,A
The enzyme responsible for the conversion of acetyl-CoA to malonyl-CoA is called:,Acetyl-CoA carboxylase,Fatty acid synthase,Lipoprotein lipase,Phospholipase,A
"Which of the following lipoproteins is considered ""bad cholesterol""?",LDL,HDL,VLDL,Chylomicrons,A
The process by which cholesterol is synthesized from acetyl-CoA is called:,Cholesterol synthesis,Beta-oxidation,Fatty acid synthesis,Phospholipid synthesis,A
Which of the following is NOT a function of cholesterol?,Energy storage,Hormone synthesis,Vitamin D synthesis,Cell membrane stability,A
The enzyme responsible for the esterification of cholesterol is called:,Acetyl-CoA carboxylase,HMG-CoA reductase,Lipoprotein lipase,Phospholipase,B
Which of the following is a precursor for the synthesis of phospholipids?,Glycerol,Cholesterol,Fatty acids,Triglycerides,A
The process by which fatty acids are broken down into acetyl-CoA is called:,Beta-oxidation,Fatty acid synthesis,Cholesterol synthesis,Phospholipid synthesis,A
Which of the following lipoproteins transports dietary triglycerides from the intestine to peripheral tissues?,Chylomicrons,HDL,LDL,VLDL,A
The enzyme responsible for the synthesis of cholesterol is called:,HMG-CoA reductase,Acetyl-CoA carboxylase,Lipoprotein lipase,Phospholipase,A
Which enzyme is responsible for unwinding the DNA double helix during replication?,DNA helicase,DNA polymerase,DNA ligase,Topoisomerase,A
In which cellular compartment does transcription occur?,Nucleus,Cytoplasm,Golgi apparatus,Endoplasmic reticulum,A
What is the primary function of ribonucleotide reductase?,Conversion of ribonucleotides to deoxyribonucleotides,Conversion of deoxyribonucleotides to ribonucleotides,Repair of damaged DNA,Removal of RNA primers,A
Which enzyme is responsible for joining Okazaki fragments during DNA replication?,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,C
What is the function of the enzyme telomerase?,Extension of telomeres,Removal of telomeres,Repair of DNA damage,Initiation of DNA replication,A
In which phase of the cell cycle does DNA replication occur?,S phase,G1 phase,G2 phase,M phase,A
What is the role of DNA gyrase in DNA replication?,Relaxation of supercoiled DNA,Formation of RNA primers,Removal of RNA primers,Joining of Okazaki fragments,A
Which enzyme is responsible for proofreading and correcting errors during DNA replication?,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,A
What is the role of thymidylate synthase in nucleotide metabolism?,Conversion of dUMP to dTMP,Conversion of dTMP to dUMP,Removal of thymine dimers,Formation of uracil from cytosine,A
Which enzyme is responsible for removing RNA primers during DNA replication?,DNA polymerase I,DNA polymerase III,DNA ligase,RNase H,A
What is the function of DNA ligase in DNA replication?,Joining of Okazaki fragments,Formation of RNA primers,Relaxation of supercoiled DNA,Removal of RNA primers,A
What is the role of topoisomerase in DNA replication?,Relaxation of supercoiled DNA,Formation of RNA primers,Removal of RNA primers,Joining of Okazaki fragments,A
Which enzyme is responsible for synthesizing the RNA primer during DNA replication?,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,D
What is the function of thymine dimer repair enzymes?,Removal of thymine dimers,Extension of telomeres,Joining of Okazaki fragments,Relaxation of supercoiled DNA,A
What is the role of RNA polymerase II in transcription?,Synthesis of mRNA,Synthesis of rRNA,Synthesis of tRNA,DNA repair,A
Which enzyme catalyzes the synthesis of mRNA during transcription?,RNA polymerase I,RNA polymerase II,RNA polymerase III,RNA primase,B
What is the function of ribosomal RNA (rRNA) in protein synthesis?,Assembly of ribosomes,Carrying amino acids to the ribosomes,Recognition of the start codon,Initiation of translation,A
Which enzyme is responsible for adding new nucleotides during DNA replication?,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
What is the role of helicase in DNA replication?,Unwinding of the DNA double helix,Formation of RNA primers,Removal of RNA primers,Joining of Okazaki fragments,A
What is the function of DNA polymerase III in DNA replication?,Synthesis of the leading and lagging strands,Removal of RNA primers,Joining of Okazaki fragments,Relaxation of supercoiled DNA,A
The enzyme responsible for adding new nucleotides during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
In which cellular compartment does RNA processing occur?,Nucleus,Cytoplasm,Golgi apparatus,Endoplasmic reticulum,A
The enzyme responsible for removing introns from pre-mRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Spliceosome,D
The process by which DNA is copied into mRNA is known as,DNA replication,DNA transcription,DNA translation,DNA splicing,B
The enzyme that catalyzes the formation of phosphodiester bonds between adjacent nucleotides in mRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Ligase,C
The process of converting mRNA into a protein is known as,DNA replication,DNA transcription,DNA translation,DNA splicing,C
The enzyme responsible for synthesizing the RNA primer during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,D
The enzyme responsible for removing RNA primers during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,RNase H,D
The enzyme responsible for repairing thymine dimers in DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,Photolyase,D
The enzyme responsible for adding telomeric repeats to the ends of chromosomes is called,Telomerase,DNA polymerase I,DNA polymerase III,DNA primase,A
The enzyme responsible for cleaving RNA molecules at specific sites during RNA processing is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Ribonuclease,D
The enzyme responsible for converting DNA into RNA during transcription is called,DNA polymerase I,DNA polymerase III,RNA polymerase I,RNA polymerase II,D
The enzyme responsible for resealing the nicks in the sugar-phosphate backbone of DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,C
The enzyme responsible for removing damaged bases from DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA glycosylase,D
The enzyme responsible for adding a poly-A tail to the 3' end of mRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Poly-A polymerase,C
The enzyme responsible for unwinding the DNA double helix during transcription is called,DNA helicase,DNA polymerase,DNA ligase,RNA polymerase II,D
The enzyme responsible for proofreading and correcting errors during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
The enzyme responsible for synthesizing the leading strand during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
The enzyme responsible for synthesizing the lagging strand during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,D
The enzyme responsible for removing introns from tRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Ribonuclease P,C
The process by which the body converts food into usable energy is known as,Glycolysis,Krebs cycle,Gluconeogenesis,Oxidative phosphorylation,D
In which cellular compartment does beta-oxidation of fatty acids occur?,Nucleus,Cytoplasm,Mitochondria,Endoplasmic reticulum,C
The enzyme responsible for breaking down dietary starch into glucose is called,Amylase,Lipase,Protease,Pepsin,A
The primary function of bile salts in digestion is to,Emulsify fats,Activate digestive enzymes,Increase intestinal motility,Stimulate acid secretion,A
The process by which amino acids are converted into glucose is called,Glycolysis,Krebs cycle,Gluconeogenesis,Oxidative phosphorylation,C
The vitamin responsible for the production of collagen is,Vitamin A,Vitamin C,Vitamin D,Vitamin E,B
The process by which glucose is converted into glycogen is known as,Glycogenesis,Glycogenolysis,Gluconeogenesis,Glycolysis,A
The enzyme responsible for breaking down triglycerides into fatty acids and glycerol is called,Amylase,Lipase,Protease,Pepsin,B
The primary function of vitamin K in the body is,Blood clotting,Energy production,Immune function,Bone health,A
The process by which excess dietary protein is converted into urea and excreted is called,Amination,Deamination,Gluconeogenesis,Glycolysis,B
The vitamin responsible for vision and eye health is,Vitamin A,Vitamin C,Vitamin D,Vitamin E,A
The enzyme responsible for converting pyruvate into acetyl-CoA during aerobic respiration is called,Pyruvate dehydrogenase,Phosphofructokinase,Glyceraldehyde-3-phosphate dehydrogenase,Isocitrate dehydrogenase,A
The primary function of vitamin E in the body is,Antioxidant protection,Blood clotting,Energy production,Immune function,A
The process by which fatty acids are converted into acetyl-CoA for energy production is known as,Glycolysis,Krebs cycle,Beta-oxidation,Lipogenesis,C
The vitamin responsible for calcium absorption and bone health is,Vitamin A,Vitamin C,Vitamin D,Vitamin E,C
The enzyme responsible for breaking down lactose into glucose and galactose is called,Amylase,Lipase,Lactase,Protease,C
The primary function of vitamin C in the body is,Antioxidant protection,Blood clotting,Energy production,Immune function,D
The process by which dietary nucleotides are broken down into nucleosides and nucleobases is called,Nucleotide synthesis,Nucleotide catabolism,Nucleotide transamination,Nucleotide phosphorylation,B
The vitamin responsible for blood clotting and bone health is,Vitamin A,Vitamin C,Vitamin D,Vitamin E,C
The enzyme responsible for converting glucose into fructose-6-phosphate during glycolysis is called,Hexokinase,Phosphofructokinase,Glucose-6-phosphatase,Pyruvate kinase,A
The process by which DNA is copied into mRNA is known as,DNA replication,DNA transcription,DNA translation,DNA splicing,B
The enzyme responsible for removing introns from pre-mRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Spliceosome,D
The enzyme responsible for synthesizing the RNA primer during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,D
The enzyme responsible for removing RNA primers during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,RNase H,D
The enzyme responsible for repairing thymine dimers in DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,Photolyase,D
The enzyme responsible for adding telomeric repeats to the ends of chromosomes is called,Telomerase,DNA polymerase I,DNA polymerase III,DNA primase,A
The enzyme responsible for cleaving RNA molecules at specific sites during RNA processing is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Ribonuclease,D
The enzyme responsible for converting DNA into RNA during transcription is called,DNA polymerase I,DNA polymerase III,RNA polymerase I,RNA polymerase II,D
The enzyme responsible for resealing the nicks in the sugar-phosphate backbone of DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,C
The enzyme responsible for removing damaged bases from DNA is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA glycosylase,D
The enzyme responsible for adding a poly-A tail to the 3' end of mRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Poly-A polymerase,C
The enzyme responsible for unwinding the DNA double helix during transcription is called,DNA helicase,DNA polymerase,DNA ligase,RNA polymerase II,D
The enzyme responsible for proofreading and correcting errors during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
The enzyme responsible for synthesizing the leading strand during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,B
The enzyme responsible for synthesizing the lagging strand during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,D
The enzyme responsible for removing introns from tRNA is called,RNA polymerase I,RNA polymerase II,RNA polymerase III,Ribonuclease P,C
The enzyme responsible for adding methyl groups to DNA is called,DNA methyltransferase,DNA polymerase I,DNA polymerase III,DNA primase,A
The enzyme responsible for converting DNA into mRNA during transcription is called,DNA polymerase I,DNA polymerase III,RNA polymerase I,RNA polymerase II,D
The enzyme responsible for joining Okazaki fragments during DNA replication is called,DNA polymerase I,DNA polymerase III,DNA ligase,DNA primase,C
The enzyme responsible for assembling amino acids into a polypeptide chain during translation is called,Ribosome,Transfer RNA (tRNA),Messenger RNA (mRNA),Aminoacyl-tRNA synthetase,D
The process by which amino acids are converted into glucose is called,Glycolysis,Krebs cycle,Gluconeogenesis,Oxidative phosphorylation,C
The enzyme responsible for converting phenylalanine into tyrosine is called,Phenylalanine hydroxylase,Tyrosine hydroxylase,Phenylalanine aminotransferase,Tyrosinase,A
The enzyme responsible for converting methionine into cysteine is called,Methionine synthase,Cystathionine gamma-lyase,Transsulfuration enzyme,Cysteine synthase,B
The primary function of the urea cycle is to,Convert ammonia into urea,Convert urea into ammonia,Convert ammonia into amino acids,Convert amino acids into ammonia,A
The enzyme responsible for converting tryptophan into serotonin is called,Tryptophan hydroxylase,Tyrosine hydroxylase,Tryptophan decarboxylase,Tryptophan aminotransferase,A
The process by which excess dietary protein is converted into urea and excreted is called,Amination,Deamination,Gluconeogenesis,Glycolysis,B
The enzyme responsible for converting tyrosine into dopamine is called,Dopamine hydroxylase,Tyrosine hydroxylase,Dopamine decarboxylase,Tyrosinase,C
The enzyme responsible for converting glutamine into glutamate is called,Glutamine synthase,Glutaminase,Glutamate dehydrogenase,Glutamate synthase,B
The primary function of the transamination reaction is to,Transfer amino groups between amino acids,Convert amino acids into glucose,Convert glucose into amino acids,Convert amino acids into fatty acids,A
The enzyme responsible for converting arginine into ornithine is called,Arginase,Ornithine decarboxylase,Arginine decarboxylase,Ornithine transcarbamylase,A
The process by which amino acids are broken down for energy production is called,Glycolysis,Krebs cycle,Gluconeogenesis,Amino acid oxidation,D
The enzyme responsible for converting leucine into acetyl-CoA is called,Leucine carboxylase,Leucine transaminase,Leucine dehydrogenase,Leucine hydroxylase,C
The enzyme responsible for converting histidine into histamine is called,Histidine hydroxylase,Histidine decarboxylase,Histamine hydroxylase,Histidine transaminase,B
The primary function of the citric acid cycle (Krebs cycle) is to,Generate high-energy electrons (NADH and FADH2),Convert amino acids into glucose,Convert glucose into glycogen,Generate ATP,C
The enzyme responsible for converting asparagine into aspartate is called,Asparaginase,Aspartate transaminase,Aspartate aminotransferase,Aspartate synthase,A
The enzyme responsible for converting serine into glycine is called,Serine hydroxymethyltransferase,Glycine hydroxymethyltransferase,Serine decarboxylase,Glycine decarboxylase,A
The primary function of the branched-chain amino acid (BCAA) metabolism is to,Provide energy during exercise,Support muscle growth and repair,Synthesize neurotransmitters,Produce ketone bodies,A
The enzyme responsible for converting alanine into pyruvate is called,Alanine transaminase,Alanine dehydrogenase,Alanine hydroxylase,Alanine decarboxylase,A
The enzyme responsible for converting glutamate into GABA is called,Glutamate hydroxylase,GABA hydroxylase,Glutamate decarboxylase,GABA decarboxylase,C
The primary function of the amino acid pool is to,Supply amino acids for protein synthesis,Store excess amino acids for later use,Convert amino acids into glucose,Convert glucose into amino acids,A
The amino acid with a positively charged side chain at physiological pH is,Lysine,Histidine,Arginine,Aspartic acid,C
